ts_ns,device,used_bytes,total_bytes
1787153787147620648,0,520421376,42949672960
1787153787672638787,0,523894784,42949672960
1787153788174212913,0,523894784,42949672960
1787153788674568686,0,5260902400,42949672960
1787153789175290565,0,5260902400,42949672960
1787153789675888602,0,5260902400,42949672960
1787153790176549637,0,5260902400,42949672960
1787153790677183181,0,5260902400,42949672960
1787153791177796797,0,5260902400,42949672960
1787153791678383502,0,5260902400,42949672960
1787153792178985125,0,5260902400,42949672960
1787153792679602339,0,5260902400,42949672960
1787153793180193212,0,5260902400,42949672960
1787153793680863584,0,5260902400,42949672960
1787153794181620268,0,5260902400,42949672960
1787153794682256698,0,5260902400,42949672960
1787153795182825339,0,5260902400,42949672960
1787153795683406274,0,5260902400,42949672960
1787153796184003098,0,5260902400,42949672960
1787153796684586678,0,5262999552,42949672960
1787153797185171680,0,5262999552,42949672960
1787153797685905622,0,5262999552,42949672960
1787153798186523947,0,5262999552,42949672960
1787153798687106535,0,5262999552,42949672960
1787153799187675658,0,5262999552,42949672960
1787153799688248597,0,5734858752,42949672960
1787153800188861322,0,5734858752,42949672960
1787153800689482552,0,5734858752,42949672960
1787153801190076752,0,5734858752,42949672960
1787153801690765278,0,5734858752,42949672960
1787153802191442063,0,5734858752,42949672960
1787153802692027226,0,5734858752,42949672960
1787153803192604854,0,5812453376,42949672960
1787153803693203823,0,5825036288,42949672960
1787153804193783355,0,5825036288,42949672960
1787153804694367225,0,5825036288,42949672960
1787153805195083213,0,5825036288,42949672960
1787153805695703752,0,10122100736,42949672960
1787153806196289025,0,10122100736,42949672960
1787153806696869419,0,10122100736,42949672960
1787153807197435856,0,10122100736,42949672960
1787153807698014807,0,10122100736,42949672960
1787153808198376140,0,10122100736,42949672960
1787153808698962235,0,10122100736,42949672960
1787153809199538911,0,10122100736,42949672960
1787153809700196490,0,10122100736,42949672960
1787153810201002236,0,10122100736,42949672960
1787153810701652932,0,10122100736,42949672960
1787153811202251249,0,10122100736,42949672960
1787153811702821875,0,10122100736,42949672960
1787153812203407168,0,10122100736,42949672960
1787153812704005265,0,10122100736,42949672960
1787153813204585468,0,10122100736,42949672960
1787153813705201959,0,10122100736,42949672960
1787153814205794306,0,10122100736,42949672960
1787153814706382935,0,10122100736,42949672960
1787153815206969741,0,10122100736,42949672960
1787153815707578648,0,10122100736,42949672960
1787153816208200680,0,10122100736,42949672960
1787153816708828011,0,10122100736,42949672960
1787153817209848240,0,10122100736,42949672960
1787153817710615594,0,10122100736,42949672960
1787153818211402766,0,10122100736,42949672960
1787153818712022634,0,10122100736,42949672960
1787153819212606884,0,10122100736,42949672960
1787153819713211854,0,10122100736,42949672960
1787153820213817556,0,10122100736,42949672960
1787153820714411314,0,10122100736,42949672960
1787153821215003651,0,10122100736,42949672960
1787153821715601337,0,10122100736,42949672960
1787153822216185337,0,10122100736,42949672960
1787153822716761924,0,10122100736,42949672960
1787153823217341286,0,10122100736,42949672960
1787153823717921078,0,10122100736,42949672960
1787153824218501131,0,10122100736,42949672960
1787153824719066888,0,10122100736,42949672960
1787153825219654034,0,10122100736,42949672960
1787153825720333163,0,10122100736,42949672960
1787153826221072305,0,10122100736,42949672960
1787153826721705848,0,10122100736,42949672960
1787153827222293916,0,10122100736,42949672960
1787153827723054928,0,10122100736,42949672960
1787153828223744046,0,10122100736,42949672960
1787153828724366398,0,10122100736,42949672960
1787153829225011023,0,10122100736,42949672960
1787153829725660606,0,10122100736,42949672960
1787153830226259945,0,10122100736,42949672960
1787153830726905882,0,10122100736,42949672960
1787153831228864620,0,10122100736,42949672960
1787153831729529242,0,10122100736,42949672960
1787153832230125386,0,10122100736,42949672960
1787153832730784256,0,10122100736,42949672960
1787153833231395879,0,10122100736,42949672960
1787153833732092210,0,10122100736,42949672960
1787153834232797267,0,10122100736,42949672960
1787153834733447061,0,10122100736,42949672960
1787153835234103628,0,10122100736,42949672960
1787153835734700623,0,10122100736,42949672960
1787153836235277069,0,10122100736,42949672960
1787153836735855770,0,10122100736,42949672960
1787153837236428870,0,10122100736,42949672960
1787153837737186506,0,10122100736,42949672960
1787153838237818016,0,10122100736,42949672960
1787153838738427293,0,10122100736,42949672960
1787153839239017686,0,10122100736,42949672960
1787153839739582931,0,10122100736,42949672960
1787153840240179125,0,10122100736,42949672960
1787153840740801136,0,10122100736,42949672960
1787153841241397761,0,10122100736,42949672960
1787153841742091797,0,10122100736,42949672960
1787153842242914796,0,10122100736,42949672960
1787153842743545714,0,10122100736,42949672960
1787153843244125307,0,10122100736,42949672960
1787153843744726720,0,10122100736,42949672960
1787153844245308576,0,10122100736,42949672960
1787153844746057326,0,10122100736,42949672960
1787153845246843325,0,10122100736,42949672960
1787153845747472711,0,10122100736,42949672960
1787153846248050991,0,10122100736,42949672960
1787153846748618781,0,10122100736,42949672960
1787153847249186040,0,10122100736,42949672960
1787153847749919952,0,10122100736,42949672960
1787153848251055126,0,10122100736,42949672960
1787153848751702174,0,10122100736,42949672960
1787153849252290222,0,10122100736,42949672960
1787153849752949494,0,10122100736,42949672960
1787153850253604227,0,10122100736,42949672960
1787153850754216902,0,10122100736,42949672960
1787153851254899817,0,10122100736,42949672960
1787153851755513003,0,10122100736,42949672960
1787153852256069732,0,10122100736,42949672960
1787153852756645207,0,10122100736,42949672960
1787153853257221813,0,10122100736,42949672960
1787153853757840629,0,10122100736,42949672960
1787153854258393792,0,10122100736,42949672960
1787153854759012518,0,10122100736,42949672960
1787153855259598011,0,10122100736,42949672960
1787153855760189916,0,10122100736,42949672960
1787153856260772885,0,10122100736,42949672960
1787153856761381832,0,10122100736,42949672960
1787153857261960242,0,10122100736,42949672960
1787153857762705876,0,10122100736,42949672960
1787153858263392699,0,10122100736,42949672960
1787153858764141318,0,10122100736,42949672960
1787153859264759392,0,10122100736,42949672960
1787153859765354805,0,10122100736,42949672960
1787153860265935168,0,10122100736,42949672960
1787153860766520190,0,10122100736,42949672960
1787153861267101386,0,10122100736,42949672960
1787153861767713850,0,10122100736,42949672960
1787153862268299844,0,10122100736,42949672960
1787153862768870139,0,10122100736,42949672960
1787153863269474968,0,10122100736,42949672960
1787153863770059290,0,10122100736,42949672960
1787153864270625807,0,10122100736,42949672960
1787153864771231548,0,10122100736,42949672960
1787153865271822402,0,10256318464,42949672960
1787153865772620003,0,10256318464,42949672960
1787153866273429416,0,10256318464,42949672960
1787153866774085111,0,10256318464,42949672960
1787153867274659734,0,10256318464,42949672960
1787153867775255737,0,10256318464,42949672960
1787153868275834217,0,10256318464,42949672960
1787153868776441962,0,10256318464,42949672960
1787153869277019110,0,10256318464,42949672960
1787153869777592000,0,10256318464,42949672960
1787153870278209303,0,10256318464,42949672960
1787153870778792221,0,10256318464,42949672960
1787153871279389817,0,10256318464,42949672960
1787153871779975791,0,10256318464,42949672960
1787153872280636856,0,10256318464,42949672960
1787153872781242948,0,10256318464,42949672960
1787153873281855382,0,10256318464,42949672960
1787153873782467415,0,10256318464,42949672960
1787153874283214552,0,10256318464,42949672960
1787153874783837926,0,10256318464,42949672960
1787153875284409042,0,10256318464,42949672960
1787153875785008372,0,10256318464,42949672960
1787153876285577674,0,10256318464,42949672960
1787153876786153209,0,10256318464,42949672960
1787153877286729806,0,10256318464,42949672960
1787153877787328223,0,10256318464,42949672960
1787153878287903227,0,10256318464,42949672960
1787153878788506053,0,10256318464,42949672960
1787153879289136781,0,10256318464,42949672960
1787153879789738445,0,10256318464,42949672960
1787153880290325130,0,10256318464,42949672960
1787153880790933556,0,10256318464,42949672960
1787153881291524640,0,10256318464,42949672960
1787153881792126835,0,10256318464,42949672960
1787153882292866667,0,10256318464,42949672960
1787153882793489331,0,10256318464,42949672960
1787153883294101564,0,10256318464,42949672960
1787153883794719538,0,10256318464,42949672960
1787153884295305041,0,10256318464,42949672960
1787153884795928666,0,10256318464,42949672960
1787153885296562991,0,10256318464,42949672960
1787153885797163803,0,10256318464,42949672960
1787153886297746381,0,10256318464,42949672960
1787153886798356591,0,10256318464,42949672960
1787153887298940531,0,10256318464,42949672960
1787153887799526285,0,10256318464,42949672960
1787153888300100417,0,10256318464,42949672960
1787153888800723401,0,10256318464,42949672960
1787153889301320285,0,10256318464,42949672960
1787153889801939452,0,10256318464,42949672960
1787153890302700745,0,10256318464,42949672960
1787153890803336993,0,10256318464,42949672960
1787153891305110244,0,10256318464,42949672960
1787153891805706317,0,10256318464,42949672960
1787153892306294786,0,10256318464,42949672960
