ts_ns,device,used_bytes,total_bytes
1787153646949681763,0,520421376,42949672960
1787153647451933801,0,523894784,42949672960
1787153647958544583,0,523894784,42949672960
1787153648459121650,0,5260902400,42949672960
1787153648959729135,0,5260902400,42949672960
1787153649460317804,0,5260902400,42949672960
1787153649961113411,0,5260902400,42949672960
1787153650461932803,0,5260902400,42949672960
1787153650962692874,0,5260902400,42949672960
1787153651463320897,0,5260902400,42949672960
1787153651963906681,0,5260902400,42949672960
1787153652464486754,0,5260902400,42949672960
1787153652965064823,0,5260902400,42949672960
1787153653465709377,0,5260902400,42949672960
1787153653966461604,0,5260902400,42949672960
1787153654467180557,0,5260902400,42949672960
1787153654967942231,0,5260902400,42949672960
1787153655468651146,0,5260902400,42949672960
1787153655969362555,0,5260902400,42949672960
1787153656470130881,0,5262999552,42949672960
1787153656970802696,0,5262999552,42949672960
1787153657471401154,0,5262999552,42949672960
1787153657972035920,0,5262999552,42949672960
1787153658472676696,0,5262999552,42949672960
1787153658973298558,0,5262999552,42949672960
1787153659473920379,0,5734858752,42949672960
1787153659974578559,0,5734858752,42949672960
1787153660475247639,0,5734858752,42949672960
1787153660975843372,0,5734858752,42949672960
1787153661476417834,0,5734858752,42949672960
1787153661976993058,0,5734858752,42949672960
1787153662477779969,0,5812453376,42949672960
1787153662978598469,0,5812453376,42949672960
1787153663479472765,0,5825036288,42949672960
1787153663980311412,0,5825036288,42949672960
1787153664480967779,0,5825036288,42949672960
1787153664981577147,0,5825036288,42949672960
1787153665482190913,0,10122100736,42949672960
1787153665982805241,0,10122100736,42949672960
1787153666483512141,0,10122100736,42949672960
1787153666984118684,0,10122100736,42949672960
1787153667484728453,0,10122100736,42949672960
1787153667985513340,0,10122100736,42949672960
1787153668486167262,0,10122100736,42949672960
1787153668986748978,0,10122100736,42949672960
1787153669487330745,0,10122100736,42949672960
1787153669987916458,0,10122100736,42949672960
1787153670488656451,0,10122100736,42949672960
1787153670989287129,0,10122100736,42949672960
1787153671489893211,0,10122100736,42949672960
1787153671990478995,0,10122100736,42949672960
1787153672491059890,0,10122100736,42949672960
1787153672991635204,0,10122100736,42949672960
1787153673492201992,0,10122100736,42949672960
1787153673992774892,0,10122100736,42949672960
1787153674493341520,0,10122100736,42949672960
1787153674993919930,0,10122100736,42949672960
1787153675494490796,0,10122100736,42949672960
1787153675995064196,0,10122100736,42949672960
1787153676495656562,0,10122100736,42949672960
1787153676996752743,0,10122100736,42949672960
1787153677497387860,0,10122100736,42949672960
1787153677998009952,0,10122100736,42949672960
1787153678498628136,0,10122100736,42949672960
1787153678999236453,0,10122100736,42949672960
1787153679499815894,0,10122100736,42949672960
1787153680000384085,0,10122100736,42949672960
1787153680500952547,0,10122100736,42949672960
1787153681001554080,0,10122100736,42949672960
1787153681502136718,0,10122100736,42949672960
1787153682002706412,0,10122100736,42949672960
1787153682503273801,0,10122100736,42949672960
1787153683003841741,0,10122100736,42949672960
1787153683504470236,0,10122100736,42949672960
1787153684005054577,0,10122100736,42949672960
1787153684505628078,0,10122100736,42949672960
1787153685006231154,0,10122100736,42949672960
1787153685506814723,0,10122100736,42949672960
1787153686007388856,0,10122100736,42949672960
1787153686507996150,0,10122100736,42949672960
1787153687008606720,0,10122100736,42949672960
1787153687509188957,0,10122100736,42949672960
1787153688009927518,0,10122100736,42949672960
1787153688510553006,0,10122100736,42949672960
1787153689011139150,0,10122100736,42949672960
1787153689511731286,0,10122100736,42949672960
1787153690012316980,0,10122100736,42949672960
1787153690512926328,0,10122100736,42949672960
1787153691013602802,0,10122100736,42949672960
1787153691514192623,0,10122100736,42949672960
1787153692014783647,0,10122100736,42949672960
1787153692515457416,0,10122100736,42949672960
1787153693016084397,0,10122100736,42949672960
1787153693516706619,0,10122100736,42949672960
1787153694017332909,0,10122100736,42949672960
1787153694517956113,0,10122100736,42949672960
1787153695018580088,0,10122100736,42949672960
1787153695519205657,0,10122100736,42949672960
1787153696019802211,0,10122100736,42949672960
1787153696520383366,0,10122100736,42949672960
1787153697021000509,0,10122100736,42949672960
1787153697521681020,0,10122100736,42949672960
1787153698022538083,0,10122100736,42949672960
1787153698523271443,0,10122100736,42949672960
1787153699023870262,0,10122100736,42949672960
1787153699524489949,0,10122100736,42949672960
1787153700025099217,0,10122100736,42949672960
1787153700525717512,0,10122100736,42949672960
1787153701026340115,0,10122100736,42949672960
1787153701526959131,0,10122100736,42949672960
1787153702027604647,0,10122100736,42949672960
1787153702528197985,0,10122100736,42949672960
1787153703028894867,0,10122100736,42949672960
1787153703529522299,0,10122100736,42949672960
1787153704030106921,0,10122100736,42949672960
1787153704530677807,0,10122100736,42949672960
1787153705031261096,0,10122100736,42949672960
1787153705531861547,0,10122100736,42949672960
1787153706032456288,0,10122100736,42949672960
1787153706533041831,0,10122100736,42949672960
1787153707034867380,0,10122100736,42949672960
1787153707535463694,0,10122100736,42949672960
1787153708036055409,0,10122100736,42949672960
1787153708536626975,0,10122100736,42949672960
1787153709037201097,0,10122100736,42949672960
1787153709537773667,0,10122100736,42949672960
1787153710038350013,0,10122100736,42949672960
1787153710538921219,0,10122100736,42949672960
1787153711039493137,0,10122100736,42949672960
1787153711540061849,0,10122100736,42949672960
1787153712040637915,0,10122100736,42949672960
1787153712541198541,0,10122100736,42949672960
1787153713041817007,0,10122100736,42949672960
1787153713542436383,0,10122100736,42949672960
1787153714043683808,0,10122100736,42949672960
1787153714544555508,0,10122100736,42949672960
1787153715045247411,0,10122100736,42949672960
1787153715546033400,0,10122100736,42949672960
1787153716046878500,0,10122100736,42949672960
1787153716547519458,0,10122100736,42949672960
1787153717048126892,0,10122100736,42949672960
1787153717548739165,0,10122100736,42949672960
1787153718049403276,0,10122100736,42949672960
1787153718550001794,0,10122100736,42949672960
1787153719050581837,0,10122100736,42949672960
1787153719551158334,0,10122100736,42949672960
1787153720051736693,0,10122100736,42949672960
1787153720552315845,0,10122100736,42949672960
1787153721052899495,0,10122100736,42949672960
1787153721553475650,0,10122100736,42949672960
1787153722054040715,0,10122100736,42949672960
1787153722554834379,0,10122100736,42949672960
1787153723055619357,0,10122100736,42949672960
1787153723556235487,0,10122100736,42949672960
1787153724056840748,0,10122100736,42949672960
1787153724557435478,0,10256318464,42949672960
1787153725058016463,0,10256318464,42949672960
1787153725558589634,0,10256318464,42949672960
1787153726059162653,0,10256318464,42949672960
1787153726559749930,0,10256318464,42949672960
1787153727060343649,0,10256318464,42949672960
1787153727560943439,0,10256318464,42949672960
1787153728061574117,0,10256318464,42949672960
1787153728562149431,0,10256318464,42949672960
1787153729062723753,0,10256318464,42949672960
1787153729563305640,0,10256318464,42949672960
1787153730063900691,0,10256318464,42949672960
1787153730564627510,0,10256318464,42949672960
1787153731065250303,0,10256318464,42949672960
1787153731565836167,0,10256318464,42949672960
1787153732066518442,0,10256318464,42949672960
1787153732567130064,0,10256318464,42949672960
1787153733067726388,0,10256318464,42949672960
1787153733568337749,0,10256318464,42949672960
1787153734068943651,0,10256318464,42949672960
1787153734569534063,0,10256318464,42949672960
1787153735070128383,0,10256318464,42949672960
1787153735570707986,0,10256318464,42949672960
1787153736071305812,0,10256318464,42949672960
1787153736571899841,0,10256318464,42949672960
1787153737072502737,0,10256318464,42949672960
1787153737573131191,0,10256318464,42949672960
1787153738073758002,0,10256318464,42949672960
1787153738574378050,0,10256318464,42949672960
1787153739074957021,0,10256318464,42949672960
1787153739575545961,0,10256318464,42949672960
1787153740076324396,0,10256318464,42949672960
1787153740576964131,0,10256318464,42949672960
1787153741077572547,0,10256318464,42949672960
1787153741578153973,0,10256318464,42949672960
1787153742078763010,0,10256318464,42949672960
1787153742579342132,0,10256318464,42949672960
1787153743079922325,0,10256318464,42949672960
1787153743580492199,0,10256318464,42949672960
1787153744081072864,0,10256318464,42949672960
1787153744581669247,0,10256318464,42949672960
1787153745082259620,0,10256318464,42949672960
1787153745582361897,0,10256318464,42949672960
1787153746082973459,0,10256318464,42949672960
1787153746583550367,0,10256318464,42949672960
1787153747084128456,0,10256318464,42949672960
1787153747584697939,0,10256318464,42949672960
1787153748085317396,0,10256318464,42949672960
1787153748585927536,0,10256318464,42949672960
1787153749086514271,0,10256318464,42949672960
1787153749587113891,0,10256318464,42949672960
1787153750087733649,0,10256318464,42949672960
1787153750588311498,0,10256318464,42949672960
1787153751088918842,0,10256318464,42949672960
1787153751589669916,0,10256318464,42949672960
