
 ** CUDA API Summary (cuda_api_sum):

+----------+-----------------+-----------+--------------+-------------+----------+------------+--------------+-----------------------------------------+
| Time (%) | Total Time (ns) | Num Calls |   Avg (ns)   |  Med (ns)   | Min (ns) |  Max (ns)  | StdDev (ns)  |                  Name                   |
+----------+-----------------+-----------+--------------+-------------+----------+------------+--------------+-----------------------------------------+
|     66.5 |  35,388,079,618 |   540,700 |     65,448.6 |     8,115.0 |    4,388 | 84,676,383 |    309,648.6 | cudaLaunchKernel                        |
|     21.2 |  11,282,124,289 |   182,272 |     61,897.2 |    12,343.0 |    4,929 | 71,878,876 |    364,709.5 | cudaMemcpyAsync                         |
|      6.5 |   3,468,422,216 |    87,480 |     39,648.2 |     5,781.0 |    4,819 |  3,282,605 |    165,618.5 | cudaLaunchKernelExC_v11060              |
|      2.4 |   1,257,239,522 |     2,885 |    435,784.9 |     9,408.0 |    2,474 | 87,613,010 |  6,045,572.6 | cudaStreamSynchronize                   |
|      2.0 |   1,063,968,244 |   565,149 |      1,882.6 |     1,212.0 |    1,042 | 71,873,796 |     95,877.8 | cudaEventRecord                         |
|      0.5 |     281,696,581 |    42,556 |      6,619.4 |     6,212.0 |    4,769 |  1,154,565 |      8,695.0 | cudaMemsetAsync                         |
|      0.3 |     163,995,852 |   540,700 |        303.3 |       250.0 |      150 |    135,935 |        606.0 | cuKernelGetName                         |
|      0.3 |     160,502,647 |        32 |  5,015,707.7 | 4,253,230.5 |  175,799 | 14,410,392 |  3,665,479.5 | cuLibraryLoadData                       |
|      0.1 |      57,223,393 |         5 | 11,444,678.6 | 2,113,804.0 |   16,170 | 43,526,289 | 18,556,367.4 | cudaHostAlloc                           |
|      0.1 |      38,294,695 |        38 |  1,007,755.1 | 1,076,834.0 |   61,635 |  2,512,250 |    769,140.8 | cuLibraryUnload                         |
|      0.0 |      19,866,142 |        38 |    522,793.2 |   103,258.5 |   74,640 |  7,240,547 |  1,598,670.0 | cuModuleLoadData                        |
|      0.0 |      16,155,746 |        27 |    598,361.0 |    79,139.0 |   44,694 |  7,600,172 |  1,846,664.5 | cuModuleUnload                          |
|      0.0 |      12,806,588 |     1,749 |      7,322.2 |     6,432.0 |    4,919 |    112,321 |      5,942.3 | cuLaunchKernel                          |
|      0.0 |       5,750,973 |         9 |    638,997.0 |   581,470.0 |    7,715 |  1,980,744 |    569,433.7 | cudaMalloc                              |
|      0.0 |       4,116,922 |        21 |    196,043.9 |       962.0 |      742 |  1,663,540 |    453,922.6 | cudaEventDestroy                        |
|      0.0 |       3,731,421 |     2,889 |      1,291.6 |     1,172.0 |      410 |     48,401 |      1,753.2 | cudaStreamIsCapturing_v10000            |
|      0.0 |       3,411,214 |        17 |    200,659.6 |     9,087.0 |    6,832 |  1,588,458 |    445,983.4 | cudaStreamDestroy                       |
|      0.0 |       1,458,936 |     4,180 |        349.0 |       210.0 |      130 |    235,382 |      3,657.4 | cuGetProcAddress_v2                     |
|      0.0 |       1,296,583 |         7 |    185,226.1 |   112,351.0 |   79,068 |    487,795 |    144,664.9 | cudaMemGetInfo                          |
|      0.0 |         738,305 |        17 |     43,429.7 |     7,624.0 |    1,483 |    521,669 |    125,792.5 | cudaStreamCreateWithPriority            |
|      0.0 |         722,364 |        16 |     45,147.8 |     5,370.0 |    1,112 |    620,694 |    153,696.3 | cudaStreamCreateWithFlags               |
|      0.0 |         187,937 |        50 |      3,758.7 |     1,373.0 |      350 |     17,162 |      4,700.7 | cuLibraryGetKernel                      |
|      0.0 |         156,180 |         9 |     17,353.3 |     9,527.0 |    5,019 |     42,589 |     14,170.0 | cudaEventQuery                          |
|      0.0 |         121,880 |        24 |      5,078.3 |     1,037.0 |      712 |     23,024 |      6,880.3 | cudaEventCreateWithFlags                |
|      0.0 |          48,881 |        11 |      4,443.7 |     4,078.0 |      962 |      9,317 |      2,431.5 | cuInit                                  |
|      0.0 |          19,607 |         1 |     19,607.0 |    19,607.0 |   19,607 |     19,607 |          0.0 | cudaFree                                |
|      0.0 |          11,965 |        10 |      1,196.5 |       301.0 |      140 |      4,809 |      1,848.1 | cuModuleGetLoadingMode                  |
|      0.0 |           9,168 |         8 |      1,146.0 |       436.0 |      430 |      6,122 |      2,010.6 | cudaStreamGetCaptureInfo_v12030         |
|      0.0 |           5,298 |        10 |        529.8 |       320.0 |      281 |      1,923 |        509.8 | cudaGetDeviceProperties_v12000          |
|      0.0 |           2,615 |         3 |        871.7 |       491.0 |      401 |      1,723 |        738.6 | cudaGetDriverEntryPointByVersion_v12050 |
+----------+-----------------+-----------+--------------+-------------+----------+------------+--------------+-----------------------------------------+
