
 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

+----------+-----------------+-----------+-------------+-------------+----------+-----------+-------------+------------------------------------------------------------------------------------------------------+
| Time (%) | Total Time (ns) | Instances |  Avg (ns)   |  Med (ns)   | Min (ns) | Max (ns)  | StdDev (ns) |                                                 Name                                                 |
+----------+-----------------+-----------+-------------+-------------+----------+-----------+-------------+------------------------------------------------------------------------------------------------------+
|     40.2 |  29,429,390,434 |    25,920 | 1,135,393.1 | 1,149,873.5 |  261,690 | 2,366,313 |   868,597.8 | void cudnn::bn_fw_tr_1C11_kernel_NCHW<__half, float, int, (int)512, (bool)1, (int)1, (bool)1>(cudnn… |
|     14.9 |  10,885,410,201 |     9,720 | 1,119,898.2 |   879,693.0 |  861,865 | 2,051,280 |   342,992.7 | sm80_xmma_fprop_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x32x32_stage4_warp… |
|      9.8 |   7,182,836,162 |    90,720 |    79,175.9 |    16,384.0 |    3,968 |   391,061 |   118,977.3 | void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n… |
|      8.8 |   6,419,057,273 |   172,800 |    37,147.3 |     6,335.0 |    2,335 |   496,789 |    85,152.2 | void cudnn::engines_precompiled::nchwToNhwcKernel<__half, __half, float, (bool)0, (bool)1, (cudnnKe… |
|      6.1 |   4,496,028,362 |    87,480 |    51,394.9 |    11,264.0 |    2,815 |   228,058 |    74,870.0 | void cudnn::engines_precompiled::nhwcToNchwKernel<__half, __half, float, (bool)1, (bool)0, (cudnnKe… |
|      5.2 |   3,834,585,451 |    12,960 |   295,878.5 |   259,002.0 |  184,571 |   599,762 |   107,980.5 | sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x… |
|      4.2 |   3,055,622,125 |    71,280 |    42,867.9 |     6,592.0 |    2,111 |   191,419 |    69,363.2 | void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::leaky_relu_kernel(at:… |
|      4.1 |   2,970,527,860 |    25,920 |   114,603.7 |   115,389.0 |   47,679 |   297,785 |    53,734.6 | sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2… |
|      2.1 |   1,571,888,500 |     3,240 |   485,150.8 |   484,597.0 |  480,979 |   623,857 |     8,437.1 | sm80_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x32x32_stage4_warpsize4x1x… |
|      1.0 |     751,481,902 |     3,240 |   231,938.9 |   192,059.0 |  191,132 |   396,662 |    56,667.6 | sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x16_sta… |
|      0.7 |     479,726,753 |     3,240 |   148,063.8 |   147,900.0 |  147,004 |   190,268 |     2,671.2 | sm80_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x… |
|      0.6 |     444,431,268 |     3,240 |   137,170.1 |   137,148.0 |  133,885 |   153,340 |     1,516.0 | void gemmSN_NN_kernel<float, (int)128, (int)2, (int)4, (int)8, (int)2, (int)4, (bool)0, cublasGemvT… |
|      0.6 |     430,666,492 |    12,960 |    33,230.4 |    30,719.0 |   24,255 |    60,767 |     8,049.7 | sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize64x64x64_stage4_warpsize2x2x1… |
|      0.3 |     231,335,394 |    32,400 |     7,140.0 |     6,528.0 |    6,208 |    10,784 |       842.3 | void cudnn::bn_fw_tr_1C11_singleread_spec<__half2, (int)512, (int)1, (int)2, (int)0>(cudnn::bn_fw_t… |
|      0.3 |     203,011,001 |    12,960 |    15,664.4 |    15,647.0 |   15,136 |    20,640 |       333.6 | void cudnn::bn_fw_tr_1C11_singleread_spec<__half2, (int)512, (int)1, (int)2, (int)20>(cudnn::bn_fw_… |
|      0.2 |     118,986,472 |     6,480 |    18,362.1 |    18,303.0 |   17,791 |    23,967 |       400.5 | sm80_xmma_fprop_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize64x32x64_stage5_warps… |
