
 ** NVTX Range Kernel Summary (nvtx_kern_sum):

+-------------------------------+---------+---------+---------+-----------+-----------+-----------------+-------------+-------------+----------+-----------+-------------+------------------------------------------------------------------------------------------------------+
|          NVTX Range           |  Style  |   PID   |   TID   | NVTX Inst | Kern Inst | Total Time (ns) |  Avg (ns)   |  Med (ns)   | Min (ns) | Max (ns)  | StdDev (ns) |                                             Kernel Name                                              |
+-------------------------------+---------+---------+---------+-----------+-----------+-----------------+-------------+-------------+----------+-----------+-------------+------------------------------------------------------------------------------------------------------+
| :ensemble_average             | PushPop | 406,599 | 407,082 |         1 |         1 |         297,305 |   297,305.0 |   297,305.0 |  297,305 |   297,305 |         0.0 | void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::arr… |
| :ensemble_average             | PushPop | 406,599 | 407,082 |         1 |         1 |         255,962 |   255,962.0 |   255,962.0 |  255,962 |   255,962 |         0.0 | void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::ArgMaxOps<… |
| :ensemble_average             | PushPop | 406,599 | 407,082 |         1 |         1 |         206,843 |   206,843.0 |   206,843.0 |  206,843 |   206,843 |         0.0 | cupy_true_divide__float32_float_float32                                                              |
| :ensemble_average             | PushPop | 406,599 | 407,082 |         1 |         1 |         119,646 |   119,646.0 |   119,646.0 |  119,646 |   119,646 |         0.0 | void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |     8,640 |   9,823,446,408 | 1,136,973.0 | 1,153,270.0 |  262,266 | 2,366,313 |   870,139.3 | void cudnn::bn_fw_tr_1C11_kernel_NCHW<__half, float, int, (int)512, (bool)1, (int)1, (bool)1>(cudnn… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |     3,240 |   3,631,055,355 | 1,120,696.1 |   883,179.0 |  864,333 | 2,051,280 |   338,431.4 | sm80_xmma_fprop_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x32x32_stage4_warp… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |    30,240 |   2,395,878,811 |    79,228.8 |    16,384.0 |    3,999 |   390,455 |   119,056.2 | void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |    58,320 |   2,238,498,734 |    38,383.0 |     6,432.0 |    2,335 |   496,789 |    85,326.9 | void cudnn::engines_precompiled::nchwToNhwcKernel<__half, __half, float, (bool)0, (bool)1, (cudnnKe… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |    29,160 |   1,498,816,094 |    51,399.7 |    11,264.0 |    2,816 |   228,058 |    74,886.9 | void cudnn::engines_precompiled::nhwcToNchwKernel<__half, __half, float, (bool)1, (bool)0, (cudnnKe… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |     4,320 |   1,281,307,755 |   296,599.0 |   259,386.0 |  185,692 |   599,762 |   108,429.1 | sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |    23,760 |   1,018,698,319 |    42,874.5 |     6,592.0 |    2,111 |   191,131 |    69,347.5 | void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::leaky_relu_kernel(at:… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |     8,640 |     992,086,520 |   114,824.8 |   115,213.0 |   48,094 |   297,785 |    53,880.9 | sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |     1,080 |     524,730,640 |   485,861.7 |   484,949.5 |  484,181 |   623,857 |    11,134.9 | sm80_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x32x32_stage4_warpsize4x1x… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |     1,080 |     336,733,494 |   311,790.3 |   310,937.0 |  309,785 |   396,662 |     7,354.5 | sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x16_sta… |
