
 ** NVTX Range Summary (nvtx_sum):

+----------+-------------------+-----------+------------------+------------------+----------------+-----------------+------------------+----------+------------------------------------------------------------------------------------------------------+
| Time (%) |  Total Time (ns)  | Instances |     Avg (ns)     |     Med (ns)     |    Min (ns)    |    Max (ns)     |   StdDev (ns)    |  Style   |                                                Range                                                 |
+----------+-------------------+-----------+------------------+------------------+----------------+-----------------+------------------+----------+------------------------------------------------------------------------------------------------------+
|     74.3 | 1,023,231,674,003 |        17 | 60,190,098,470.8 | 67,438,605,217.0 |         81,784 | 118,292,797,948 | 47,850,578,798.6 | StartEnd | GXF:entity state update: GXF_ENTITY_STATUS_STARTED                                                   |
|      8.6 |   118,459,839,661 |        17 |  6,968,225,862.4 |  1,694,068,708.0 |        408,597 |  26,748,846,438 |  9,634,616,512.0 | StartEnd | GXF:entity state update: GXF_ENTITY_STATUS_TICKING                                                   |
|      1.9 |    26,748,808,166 |         1 | 26,748,808,166.0 | 26,748,808,166.0 | 26,748,808,166 |  26,748,808,166 |              0.0 | StartEnd | GXF:tick codelet: nnunet_3d_fullres_slidewindow_3d_fullres                                           |
|      1.9 |    26,748,650,160 |         1 | 26,748,650,160.0 | 26,748,650,160.0 | 26,748,650,160 |  26,748,650,160 |              0.0 | PushPop  | :inference_3d_fullres                                                                                |
|      1.9 |    25,730,372,615 |         1 | 25,730,372,615.0 | 25,730,372,615.0 | 25,730,372,615 |  25,730,372,615 |              0.0 | StartEnd | GXF:tick codelet: nnunet_3d_cascade_fullres_slidewindow_3d_cascade_fullres                           |
|      1.9 |    25,730,232,402 |         1 | 25,730,232,402.0 | 25,730,232,402.0 | 25,730,232,402 |  25,730,232,402 |              0.0 | PushPop  | :inference_3d_cascade_fullres                                                                        |
|      1.8 |    25,410,248,137 |         1 | 25,410,248,137.0 | 25,410,248,137.0 | 25,410,248,137 |  25,410,248,137 |              0.0 | StartEnd | GXF:tick codelet: nnunet_3d_lowres_slidewindow_3d_lowres                                             |
|      1.8 |    25,410,112,693 |         1 | 25,410,112,693.0 | 25,410,112,693.0 | 25,410,112,693 |  25,410,112,693 |              0.0 | PushPop  | :inference_3d_lowres                                                                                 |
|      0.7 |     9,937,414,671 |         1 |  9,937,414,671.0 |  9,937,414,671.0 |  9,937,414,671 |   9,937,414,671 |              0.0 | StartEnd | GXF:tick codelet: postprocess_op                                                                     |
|      0.7 |     9,937,042,423 |         1 |  9,937,042,423.0 |  9,937,042,423.0 |  9,937,042,423 |   9,937,042,423 |              0.0 | PushPop  | :postprocess                                                                                         |
|      0.7 |     9,368,932,960 |         1 |  9,368,932,960.0 |  9,368,932,960.0 |  9,368,932,960 |   9,368,932,960 |              0.0 | StartEnd | GXF:tick codelet: nnunet_3d_cascade_fullres_preprocess_3d_cascade_fullres                            |
|      0.7 |     9,368,339,196 |         1 |  9,368,339,196.0 |  9,368,339,196.0 |  9,368,339,196 |   9,368,339,196 |              0.0 | PushPop  | :preprocess_3d_cascade_fullres                                                                       |
|      0.6 |     7,648,639,556 |         1 |  7,648,639,556.0 |  7,648,639,556.0 |  7,648,639,556 |   7,648,639,556 |              0.0 | StartEnd | GXF:tick codelet: nnunet_3d_fullres_preprocess_3d_fullres                                            |
|      0.6 |     7,647,933,732 |         1 |  7,647,933,732.0 |  7,647,933,732.0 |  7,647,933,732 |   7,647,933,732 |              0.0 | PushPop  | :preprocess_3d_fullres                                                                               |
|      0.4 |     4,994,390,315 |         1 |  4,994,390,315.0 |  4,994,390,315.0 |  4,994,390,315 |   4,994,390,315 |              0.0 | StartEnd | GXF:tick codelet: nnunet_3d_lowres_preprocess_3d_lowres                                              |
|      0.4 |     4,993,187,099 |         1 |  4,993,187,099.0 |  4,993,187,099.0 |  4,993,187,099 |   4,993,187,099 |              0.0 | PushPop  | :preprocess_3d_lowres                                                                                |
|      0.2 |     3,238,211,069 |         1 |  3,238,211,069.0 |  3,238,211,069.0 |  3,238,211,069 |   3,238,211,069 |              0.0 | StartEnd | GXF:tick codelet: nnunet_3d_lowres_postresample_3d_lowres                                            |
|      0.2 |     3,238,119,658 |         1 |  3,238,119,658.0 |  3,238,119,658.0 |  3,238,119,658 |   3,238,119,658 |              0.0 | PushPop  | :postresample_3d_lowres                                                                              |
|      0.1 |     1,694,047,889 |         1 |  1,694,047,889.0 |  1,694,047,889.0 |  1,694,047,889 |   1,694,047,889 |              0.0 | StartEnd | GXF:tick codelet: nnunet_3d_cascade_fullres_postresample_3d_cascade_fullres                          |
|      0.1 |     1,693,926,452 |         1 |  1,693,926,452.0 |  1,693,926,452.0 |  1,693,926,452 |   1,693,926,452 |              0.0 | PushPop  | :postresample_3d_cascade_fullres                                                                     |
