Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
63.4,880880700238,17,51816511778.7,58753906542.0,421560,107989965924,45464605032.1,StartEnd,GXF:entity state update: GXF_ENTITY_STATUS_STARTED
12.2,169487585779,17,9969857987.0,2108135124.0,609212,51067784520,16527349844.7,StartEnd,GXF:entity state update: GXF_ENTITY_STATUS_TICKING
3.7,51067713237,1,51067713237.0,51067713237.0,51067713237,51067713237,0.0,StartEnd,GXF:tick codelet: nnunet_3d_lowres_slidewindow_3d_lowres
3.7,51067521106,1,51067521106.0,51067521106.0,51067521106,51067521106,0.0,PushPop,:inference_3d_lowres
3.6,49812891261,1,49812891261.0,49812891261.0,49812891261,49812891261,0.0,StartEnd,GXF:tick codelet: nnunet_3d_fullres_slidewindow_3d_fullres
3.6,49812695874,1,49812695874.0,49812695874.0,49812695874,49812695874,0.0,PushPop,:inference_3d_fullres
1.9,25727380584,1,25727380584.0,25727380584.0,25727380584,25727380584,0.0,StartEnd,GXF:tick codelet: nnunet_3d_cascade_fullres_slidewindow_3d_cascade_fullres
1.9,25727193724,1,25727193724.0,25727193724.0,25727193724,25727193724,0.0,PushPop,:inference_3d_cascade_fullres
0.7,10393459983,1,10393459983.0,10393459983.0,10393459983,10393459983,0.0,StartEnd,GXF:tick codelet: postprocess_op
0.7,10393014357,1,10393014357.0,10393014357.0,10393014357,10393014357,0.0,PushPop,:postprocess
0.7,9376683443,1,9376683443.0,9376683443.0,9376683443,9376683443,0.0,StartEnd,GXF:tick codelet: nnunet_3d_cascade_fullres_preprocess_3d_cascade_fullres
0.7,9376018316,1,9376018316.0,9376018316.0,9376018316,9376018316,0.0,PushPop,:preprocess_3d_cascade_fullres
0.6,7977374509,1,7977374509.0,7977374509.0,7977374509,7977374509,0.0,StartEnd,GXF:tick codelet: nnunet_3d_fullres_preprocess_3d_fullres
0.6,7976860236,1,7976860236.0,7976860236.0,7976860236,7976860236,0.0,PushPop,:preprocess_3d_fullres
0.4,5361791194,1,5361791194.0,5361791194.0,5361791194,5361791194,0.0,StartEnd,GXF:tick codelet: nnunet_3d_lowres_preprocess_3d_lowres
0.4,5360599881,1,5360599881.0,5360599881.0,5360599881,5360599881,0.0,PushPop,:preprocess_3d_lowres
0.2,3397341946,1,3397341946.0,3397341946.0,3397341946,3397341946,0.0,StartEnd,GXF:tick codelet: nnunet_3d_lowres_postresample_3d_lowres
0.2,3397120912,1,3397120912.0,3397120912.0,3397120912,3397120912,0.0,PushPop,:postresample_3d_lowres
0.2,2108091221,1,2108091221.0,2108091221.0,2108091221,2108091221,0.0,StartEnd,GXF:tick codelet: nnunet_3d_fullres_postresample_3d_fullres
0.2,2107958362,1,2107958362.0,2107958362.0,2107958362,2107958362,0.0,PushPop,:postresample_3d_fullres
0.1,1686527047,1,1686527047.0,1686527047.0,1686527047,1686527047,0.0,StartEnd,GXF:tick codelet: nnunet_3d_cascade_fullres_postresample_3d_cascade_fullres
0.1,1686370583,1,1686370583.0,1686370583.0,1686370583,1686370583,0.0,PushPop,:postresample_3d_cascade_fullres
0.1,889351115,1,889351115.0,889351115.0,889351115,889351115,0.0,StartEnd,GXF:tick codelet: dicom_seg_writer
