Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
66.6,35610142148,540700,65859.3,8206.0,4348,97395513,318089.4,cudaLaunchKernel
21.3,11399095403,182272,62538.9,12083.0,4658,73841085,372670.6,cudaMemcpyAsync
6.5,3477166387,87480,39748.1,5751.0,4749,3947172,166670.3,cudaLaunchKernelExC_v11060
2.4,1257441796,2885,435855.0,9568.0,2415,87704431,6050990.2,cudaStreamSynchronize
1.8,961479480,565149,1701.3,1262.0,1051,2478898,7087.6,cudaEventRecord
0.5,269590667,42556,6335.0,6012.0,4589,1131792,7420.5,cudaMemsetAsync
0.3,163346006,540700,302.1,280.0,150,148709,466.7,cuKernelGetName
0.3,153486054,32,4796439.2,4241989.0,172133,14156135,3390379.8,cuLibraryLoadData
0.1,57273828,5,11454765.6,1971637.0,21490,43456148,18544365.0,cudaHostAlloc
0.1,37873609,38,996673.9,1103093.5,61556,2658605,732785.5,cuLibraryUnload
0.0,19319862,38,508417.4,102136.5,74991,7022538,1552338.8,cuModuleLoadData
0.0,16191389,27,599681.1,74028.0,40125,7549096,1879393.7,cuModuleUnload
0.0,12236660,1749,6996.4,6292.0,4779,184847,7119.8,cuLaunchKernel
0.0,6578447,9,730938.6,587091.0,6482,1812258,609320.5,cudaMalloc
0.0,3720054,2875,1293.9,1062.0,481,184126,3843.7,cudaStreamIsCapturing_v10000
0.0,2335159,21,111198.0,792.0,601,1060268,284184.5,cudaEventDestroy
0.0,1561932,17,91878.4,8657.0,6362,1012970,251790.9,cudaStreamDestroy
0.0,1254246,4180,300.1,210.0,140,46226,854.6,cuGetProcAddress_v2
0.0,900027,7,128575.3,109696.0,63659,254247,64796.6,cudaMemGetInfo
0.0,708221,16,44263.8,3732.0,1393,602420,149114.3,cudaStreamCreateWithFlags
0.0,595186,17,35010.9,3297.0,1593,471294,113322.4,cudaStreamCreateWithPriority
0.0,165407,50,3308.1,1298.0,390,14488,3997.9,cuLibraryGetKernel
0.0,147969,9,16441.0,8006.0,5210,45926,14939.6,cudaEventQuery
0.0,142986,24,5957.8,997.0,701,37721,9807.7,cudaEventCreateWithFlags
0.0,59683,11,5425.7,4539.0,972,19657,5088.5,cuInit
0.0,19506,1,19506.0,19506.0,19506,19506,0.0,cudaFree
0.0,12403,10,1240.3,300.0,151,4589,1790.3,cuModuleGetLoadingMode
0.0,2856,1,2856.0,2856.0,2856,2856,0.0,cudaStreamGetCaptureInfo_v12030
0.0,1674,3,558.0,471.0,381,822,233.0,cudaGetDriverEntryPointByVersion_v12050
0.0,1643,3,547.7,501.0,461,681,117.2,cudaGetDeviceProperties_v12000
