Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
66.5,35512937815,540700,65679.6,8105.0,4238,97551176,317454.1,cudaLaunchKernel
21.3,11400072661,182272,62544.3,12434.0,4849,78222871,374845.9,cudaMemcpyAsync
6.5,3493890994,87480,39939.3,5780.0,4789,3011036,167199.2,cudaLaunchKernelExC_v11060
2.3,1252925899,2885,434289.7,9457.0,2494,87562094,6038048.4,cudaStreamSynchronize
1.9,1000305941,565149,1770.0,1283.0,1051,4421742,12946.2,cudaEventRecord
0.5,274426274,42556,6448.6,6132.0,5471,1284178,9288.9,cudaMemsetAsync
0.3,167056916,540700,309.0,261.0,150,360566,768.9,cuKernelGetName
0.3,154965036,32,4842657.4,4248902.5,175579,14180752,3410709.4,cuLibraryLoadData
0.1,59632431,5,11926486.2,1975134.0,13345,43271181,18508305.7,cudaHostAlloc
0.1,44039902,38,1158944.8,1192200.5,63058,6436379,1154968.7,cuLibraryUnload
0.0,21443789,38,564310.2,111975.0,87273,7618877,1670710.9,cuModuleLoadData
0.0,18129393,27,671459.0,86592.0,44965,8096813,2038297.8,cuModuleUnload
0.0,13676353,1749,7819.5,6642.0,4959,189936,7541.7,cuLaunchKernel
0.0,7674334,10,767433.4,598818.0,7024,1640496,578108.1,cudaMalloc
0.0,5124110,21,244005.2,1102.0,621,2386816,593562.2,cudaEventDestroy
0.0,3949349,17,232314.6,9959.0,6873,1281684,449282.2,cudaStreamDestroy
0.0,3729731,2875,1297.3,1123.0,471,45806,1841.1,cudaStreamIsCapturing_v10000
0.0,1401037,4180,335.2,201.0,140,189114,3013.6,cuGetProcAddress_v2
0.0,875762,6,145960.3,145433.0,86863,203532,47369.4,cudaMemGetInfo
0.0,715298,16,44706.1,6928.0,1111,566863,139583.9,cudaStreamCreateWithFlags
0.0,679924,17,39995.5,7915.0,1984,476513,114005.6,cudaStreamCreateWithPriority
0.0,677412,50,13548.2,1618.0,350,493225,69361.3,cuLibraryGetKernel
0.0,224952,9,24994.7,11371.0,5240,105909,31914.3,cudaEventQuery
0.0,146994,24,6124.8,1107.0,751,32691,9088.1,cudaEventCreateWithFlags
0.0,53929,11,4902.6,3867.0,1021,11171,3125.6,cuInit
0.0,17303,1,17303.0,17303.0,17303,17303,0.0,cudaFree
0.0,10579,10,1057.9,405.5,170,4829,1453.5,cuModuleGetLoadingMode
0.0,3406,1,3406.0,3406.0,3406,3406,0.0,cudaStreamGetCaptureInfo_v12030
0.0,2334,3,778.0,741.0,391,1202,406.8,cudaGetDriverEntryPointByVersion_v12050
0.0,1563,3,521.0,551.0,341,671,167.0,cudaGetDeviceProperties_v12000
