,Age,Male 0.05,Male 0.25,Male 0.50,Male 0.75,Male 0.95,Female 0.05,Female 0.25,Female 0.50,Female 0.75,Female 0.95
0,2.0,290.4335157038641,343.4035674147742,416.56510773520876,467.6308246644187,525.6575429219293,303.07107420569093,355.8842468898125,383.2348629492261,459.8480251146002,506.20266303280766
1,2.5,311.9380488227697,367.30577441001196,441.77707730366694,496.7224863726133,560.910206060756,317.22301091165946,373.78229317392015,406.62204227160595,483.13269005753455,535.1703778798648
2,3.0,333.44258194167537,391.2079814052496,466.9890468721251,525.8141480808077,596.1628691995827,331.374947617628,391.6803394580281,430.00922159398584,506.4173550004689,564.1380927269216
3,3.5,354.94866097078943,415.12337465841574,492.20966406090434,554.8981850512654,631.4236069104214,345.5268843235967,409.578385742136,453.3964009163657,529.7020199434031,593.105807573979
4,4.0,376.4640154611537,439.11788545915283,517.4821669716106,583.9364735953022,666.7327920533322,359.6788210295652,427.47643202624386,476.7835802387453,552.9866848863373,622.0735224210356
5,4.5,397.99792087401835,463.2706313550316,542.8584413261704,612.8832652864971,702.1388720603869,373.8339697052753,445.3777772276908,500.1743333301096,576.2762623043512,651.0486296179879
6,5.0,419.5596526706339,487.6607298936232,568.3903728465109,641.6928116984293,737.6902943636579,388.1204076441724,463.4139656753728,523.7111642287188,599.76663714124,680.3258991169175
7,5.5,441.15848631225026,512.3672986224984,594.1298472545587,670.319364404678,773.4355063952171,402.8284166116511,481.8831370238098,547.7170523065537,623.9017743323143,710.5734145396264
8,6.0,462.80369726011793,537.4694550892283,620.128750272241,698.7171749788223,809.4229555871362,418.25911877098395,501.09456477354115,572.5270384059187,649.1422184162783,742.4842086888146
9,6.5,484.5045609754868,563.0463168413834,646.4389676214843,726.840494994441,845.7010893714878,434.71363628544344,521.3575224251059,598.4761633691182,675.9485139318354,776.751314367181
10,7.0,506.2703529196075,589.177001426535,673.1123850242158,754.6435760251136,882.3183551803438,452.49309131830273,542.9812834790434,625.8994680384562,704.7812054176904,814.0677643774256
11,7.5,528.1103485537302,615.940626392254,700.2008882023622,782.0806696444191,919.3232004457761,471.89860603283364,566.275121435893,655.1319932562368,736.1008374125468,855.1265915222481
12,8.0,550.0338233391049,643.416309286111,727.7563628778503,809.1060274259365,956.7640725998566,493.2313025923092,591.5483097961936,686.5087798647646,770.3679544551081,900.6208286043477
